episode, reward
0, -279.26
1, -406.66
2, -189.1
3, 55.9
4, 6.9
5, 53.94
6, -42.1
7, 18.66
8, -49.94
9, 46.1
10, 38.26
11, 20.62
12, 24.54
13, 69.62
14, 51.98
15, 22.58
16, 73.54
17, -40.14
18, 26.5
19, 40.22
20, 36.3
21, 4.94
22, 67.66
23, 1.02
24, 30.42
25, 65.7
26, 57.86
27, 50.02
28, 65.7
29, 71.58
30, 69.62
31, 79.42
32, 61.78
33, 14.74
34, 57.86
35, 65.7
36, 67.66
37, 73.54
38, 75.5
39, 79.42
40, 67.66
41, 75.5
42, 73.54
43, 71.58
44, 65.7
45, 71.58
46, 65.7
47, 73.54
48, 75.5
49, 38.26
50, 8.86
51, 18.66
52, 73.54
53, 59.82
54, 77.46
55, 79.42
56, 71.58
57, 73.54
58, 61.78
59, 63.74
60, 48.06
61, 55.9
62, 69.62
63, 65.7
64, 34.34
65, 61.78
66, 69.62
67, 69.62
68, 73.54
69, 59.82
70, 69.62
71, 71.58
72, 63.74
73, 75.5
74, 79.42
75, 69.62
76, 73.54
77, 44.14
78, 79.42
79, 79.42
80, 75.5
81, 73.54
82, 67.66
83, 59.82
84, 51.98
85, 73.54
86, 75.5
87, 65.7
88, 79.42
89, 77.46
90, 79.42
91, 71.58
92, 32.38
93, 69.62
94, 61.78
95, 57.86
96, 59.82
97, 77.46
98, 67.66
99, 69.62
100, 63.74
101, 40.22
102, 65.7
103, 55.9
104, 77.46
105, 67.66
106, 69.62
107, 79.42
108, 71.58
109, 75.5
110, 75.5
111, 71.58
112, 65.7
113, 67.66
114, 69.62
115, 67.66
116, 69.62
117, 61.78
118, 71.58
119, 69.62
120, 71.58
121, 69.62
122, 61.78
123, 79.42
124, 75.5
125, 79.42
126, 55.9
127, 79.42
128, 57.86
129, 63.74
130, 75.5
131, 71.58
132, 77.46
133, 69.62
134, 71.58
135, 20.62
136, 55.9
137, 79.42
138, 77.46
139, 75.5
140, 81.38
141, 67.66
142, 73.54
143, 71.58
144, 57.86
145, 67.66
146, 63.74
147, 65.7
148, 63.74
149, 69.62
150, 63.74
151, 59.82
152, 73.54
153, 73.54
154, 69.62
155, 75.5
156, 63.74
157, 73.54
158, 73.54
159, 61.78
160, 77.46
161, 55.9
162, 77.46
163, 69.62
164, 67.66
165, 67.66
166, 79.42
167, 53.94
168, 75.5
169, 75.5
170, 77.46
171, 65.7
172, 77.46
173, 67.66
174, 53.94
175, 79.42
176, 42.18
177, 73.54
178, 81.38
179, 77.46
180, 59.82
181, 61.78
182, 61.78
183, 71.58
184, 79.42
185, 67.66
186, 67.66
187, 79.42
188, 67.66
189, 75.5
190, 63.74
191, 77.46
192, 53.94
193, 73.54
194, 77.46
195, 65.7
196, 30.42
197, 81.38
198, 67.66
199, 71.58
200, 69.62
201, 77.46
202, 75.5
203, 77.46
204, 81.38
205, 73.54
206, 55.9
207, 75.5
208, 69.62
209, 65.7
210, 71.58
211, 65.7
212, 69.62
213, 71.58
214, 73.54
215, 75.5
216, 75.5
217, 71.58
218, 59.82
219, 75.5
220, 51.98
221, 75.5
222, 42.18
223, 53.94
224, 63.74
225, 71.58
226, 73.54
227, 69.62
228, 71.58
229, 71.58
230, 59.82
231, 71.58
232, 65.7
233, 77.46
234, 59.82
235, 71.58
236, 71.58
237, 75.5
238, 55.9
239, 69.62
240, 69.62
241, 63.74
242, 71.58
243, 59.82
244, 75.5
245, 65.7
246, 77.46
247, 65.7
248, 63.74
249, 61.78
250, 63.74
251, 81.38
252, 57.86
253, 71.58
254, 65.7
255, 71.58
256, 73.54
257, 73.54
258, 69.62
259, 75.5
260, 71.58
261, 63.74
262, 51.98
263, 75.5
264, 59.82
265, 71.58
266, 71.58
267, 63.74
268, 67.66
269, 71.58
270, 61.78
271, 79.42
272, 73.54
273, 69.62
274, 65.7
275, 77.46
276, 71.58
277, 75.5
278, 75.5
279, 59.82
280, 59.82
281, 73.54
282, 48.06
283, 77.46
284, 75.5
285, 55.9
286, 69.62
287, 73.54
288, 73.54
289, 75.5
290, 67.66
291, 73.54
292, 40.22
293, 75.5
294, 69.62
295, 75.5
296, 75.5
297, 75.5
298, 63.74
299, 73.54
300, 75.5
301, 65.7
302, 65.7
303, 63.74
304, 67.66
305, 71.58
306, 65.7
307, 73.54
308, 73.54
309, 65.7
310, 81.38
311, 65.7
312, 71.58
313, 75.5
314, 79.42
315, 79.42
316, 79.42
317, 75.5
318, 73.54
319, 65.7
320, 67.66
321, 57.86
322, 73.54
323, 79.42
324, 73.54
325, 77.46
326, 79.42
327, 50.02
328, 75.5
329, 79.42
330, 69.62
331, 55.9
332, 75.5
333, 71.58
334, 75.5
335, 79.42
336, 51.98
337, 69.62
338, 61.78
339, 79.42
340, 71.58
341, 48.06
342, 77.46
343, 59.82
344, 63.74
345, 71.58
346, 75.5
347, 59.82
348, 79.42
349, 77.46
350, 67.66
351, 75.5
352, 71.58
353, 71.58
354, 59.82
355, 65.7
356, 73.54
357, 71.58
358, 71.58
359, 59.82
360, 73.54
361, 65.7
362, 55.9
363, 65.7
364, 73.54
365, 67.66
366, 75.5
367, 75.5
368, 71.58
369, 75.5
370, 69.62
371, 61.78
372, 79.42
373, 57.86
374, 71.58
375, 73.54
376, 67.66
377, 57.86
378, 63.74
379, 73.54
380, 77.46
381, 61.78
382, 71.58
383, 51.98
384, 71.58
385, 65.7
386, 44.14
387, 71.58
388, 57.86
389, 69.62
390, 67.66
391, 69.62
392, 71.58
393, 75.5
394, 75.5
395, 69.62
396, 71.58
397, 79.42
398, 73.54
399, 67.66
400, 77.46
401, 75.5
402, 69.62
403, 69.62
404, 79.42
405, 71.58
406, 65.7
407, 63.74
408, 69.62
409, 61.78
410, 81.38
411, 79.42
412, 61.78
413, 65.7
414, 77.46
415, 71.58
416, 42.18
417, 75.5
418, 69.62
419, 65.7
420, 79.42
421, 73.54
422, 63.74
423, 65.7
424, 75.5
425, 63.74
426, 73.54
427, 75.5
428, 65.7
429, 42.18
430, 79.42
431, 55.9
432, 77.46
433, 59.82
434, 59.82
435, 73.54
436, 61.78
437, 75.5
438, 55.9
439, 77.46
440, 81.38
441, 69.62
442, 67.66
443, 71.58
444, 63.74
445, 71.58
446, 63.74
447, 57.86
448, 65.7
449, 69.62
450, 65.7
451, 75.5
452, 75.5
453, 79.42
454, 67.66
455, 79.42
456, 79.42
457, 71.58
458, 73.54
459, 73.54
460, 59.82
461, 81.38
462, 75.5
463, 67.66
464, 71.58
465, 79.42
466, 75.5
467, 77.46
468, 63.74
469, 59.82
470, 67.66
471, 50.02
472, 65.7
473, 63.74
474, 69.62
475, 75.5
476, 61.78
477, 57.86
478, 73.54
479, 59.82
480, 75.5
481, 71.58
482, 79.42
483, 53.94
484, 73.54
485, 65.7
486, 67.66
487, 75.5
488, 67.66
489, 67.66
490, 79.42
491, 65.7
492, 69.62
493, 63.74
494, 65.7
495, 69.62
496, 67.66
497, 73.54
498, 67.66
499, 71.58
500, 75.5
501, 71.58
502, 73.54
503, 75.5
504, 79.42
505, 79.42
506, 53.94
507, 75.5
508, 69.62
509, 73.54
510, 75.5
511, 50.02
512, 65.7
513, 75.5
514, 61.78
515, 75.5
516, 48.06
517, 63.74
518, 73.54
519, 75.5
520, 79.42
521, 73.54
522, 69.62
523, 79.42
524, 75.5
525, 67.66
526, 71.58
527, 77.46
528, 69.62
529, 79.42
530, 71.58
531, 75.5
532, 55.9
533, 75.5
534, 53.94
535, 77.46
536, 48.06
537, 67.66
538, 67.66
539, 81.38
540, 61.78
541, 69.62
542, 71.58
543, 77.46
544, 69.62
545, 67.66
546, 61.78
547, 73.54
548, 69.62
549, 71.58
550, 67.66
551, 32.38
552, 75.5
553, 75.5
554, 63.74
555, 77.46
556, 53.94
557, 75.5
558, 65.7
559, 75.5
560, 73.54
561, 69.62
562, 69.62
563, 77.46
564, 73.54
565, 75.5
566, 73.54
567, 69.62
568, 71.58
