episode, reward
0, -17387.1
1, -74.44
2, -4241.4
3, -56.8
4, -1077.96
5, -5062.64
6, -7014.8
7, -79511.3
8, -38755
9, -6836.44
10, -721.24
11, -16085.7
12, -1011.32
13, -3431.92
14, -3210.44
15, -13122.2
16, -872.16
17, -7185.32
18, -495.84
19, -380.2
20, -47
21, -27.4
22, -35.24
23, -5470.32
24, -35.24
25, 33.36
26, -10531
27, -1328.84
28, -1132.84
29, -6330.76
30, -154.8
31, -709.48
32, -958.4
33, -874.12
34, -258.68
35, -2732.2
36, -25.44
37, -117.56
38, -66.6
39, -3.88
40, -2146.16
41, -195.96
42, -133.24
43, -68.56
44, -86.2
45, -35.24
46, 39.24
47, -3543.64
48, -2279.44
49, -15523.2
50, -2089.32
51, -3896.44
52, -1170.08
53, -2271.6
54, -162.64
55, -292
56, 15.72
57, -5987.76
58, -8206.48
59, -141.08
60, -109.72
61, -2375.48
62, -713.4
63, -1317.08
64, -1009.36
65, 13.76
66, -484.08
67, 2
68, -274.36
69, -3.88
70, -2106.96
71, -182.24
72, -7.8
73, 39.24
74, -72.48
75, 45.12
76, 64.72
77, 19.64
78, 35.32
79, 66.68
80, 17.68
81, 35.32
82, -176.36
83, -131.28
84, -1362.16
85, -23.48
86, 25.52
87, -509.56
88, -292
89, -325.32
90, -70.52
91, -3288.84
92, -15.64
93, -2787.08
94, -397.84
95, -164.6
96, -3437.8
97, -1681.64
98, -76.4
99, -2710.64
100, -258.68
101, -305.72
102, -33.28
103, -17.6
104, -5050.88
105, -362.56
106, 39.24
107, -172.44
108, -82.28
109, -194
110, -3553.44
111, 2
112, 43.16
113, -842.76
114, -2912.52
115, -4464.84
116, -1912.92
117, 43.16
118, -37.2
119, -66.6
120, 56.88
121, -168.52
122, 51
123, -68.56
124, 52.96
125, 58.84
126, -276.32
127, -278.28
128, -99.92
129, -13.68
130, 56.88
131, -68.56
132, -3449.56
133, -719.28
134, 56.88
135, 54.92
136, -4455.04
137, -60.72
138, 52.96
139, -13.68
140, 41.2
141, 68.64
142, 47.08
143, -1440.56
144, -2583.24
145, -272.4
146, 56.88
147, -3271.2
148, -2855.68
149, -5983.84
150, -654.6
151, -268.48
152, -1134.8
153, 13.76
154, 0.04
155, -7.8
156, -43.08
157, -3.88
158, -203.8
159, -203.8
160, 52.96
161, -1746.32
162, -48.96
163, 64.72
164, 54.92
165, -56.8
166, 39.24
167, 9.84
168, -284.16
169, 13.76
170, 29.44
171, 47.08
172, 41.2
173, -862.36
174, 52.96
175, -62.68
176, 43.16
177, -7.8
178, 47.08
179, -2161.84
180, 54.92
181, -299.84
182, 31.4
183, -597.76
184, -341
185, -92.08
186, 33.36
187, -268.48
188, -47
189, -13.68
190, -1305.32
191, -780.04
192, -39.16
193, 72.56
194, 31.4
195, 58.84
196, 76.48
197, 49.04
198, 54.92
199, -323.36
200, -486.04
201, 29.44
202, 47.08
203, 19.64
204, 33.36
205, 58.84
206, 60.8
207, 17.68
208, 62.76
209, -1046.6
210, 51
211, 33.36
212, -27.4
213, -109.72
214, 35.32
215, -92.08
216, 33.36
217, -31.32
218, -60.72
219, -35.24
220, -376.28
221, -7.8
222, 7.88
223, -395.88
224, -62.68
225, -390
226, -219.48
227, -141.08
228, -858.44
229, -341
230, -74.44
231, -54.84
232, 33.36
233, 13.76
234, 58.84
235, -143.04
236, 2
237, -86.2
238, 11.8
239, -1644.4
240, 3.96
241, 49.04
242, -2979.16
243, 64.72
244, 17.68
245, -3563.24
246, -1409.2
247, -164.6
248, -823.16
249, 54.92
250, -783.96
251, -80.32
252, 58.84
253, -811.4
254, 49.04
255, 60.8
256, 56.88
257, -129.32
258, 58.84
259, 70.6
260, 52.96
