episode, reward
0, -1565.02
1, -394.9
2, -49.94
3, 63.74
4, 32.38
5, -14.66
6, 46.1
7, 59.82
8, 71.58
9, 30.42
10, 59.82
11, 51.98
12, 53.94
13, 71.58
14, 57.86
15, -322.38
16, 50.02
17, -102.86
18, 44.14
19, 69.62
20, 8.86
21, 73.54
22, 81.38
23, 71.58
24, 63.74
25, -616.38
26, 48.06
27, -4.86
28, -34.26
29, 51.98
30, -12.7
31, -114.62
32, 57.86
33, 75.5
34, 63.74
35, 75.5
36, 77.46
37, 71.58
38, 28.46
39, 65.7
40, 77.46
41, 77.46
42, -16.62
43, 65.7
44, 59.82
45, 48.06
46, 69.62
47, -871.18
48, 71.58
49, 61.78
50, 28.46
51, 28.46
52, 36.3
53, 77.46
54, 20.62
55, 44.14
56, 59.82
57, 73.54
58, 71.58
59, 75.5
60, 75.5
61, 65.7
62, 59.82
63, 50.02
64, 81.38
65, 67.66
66, 63.74
67, 77.46
68, 79.42
69, 75.5
70, 73.54
71, 75.5
72, 65.7
73, 65.7
74, 65.7
75, 77.46
76, 69.62
77, 63.74
78, 81.38
79, 61.78
80, 79.42
81, 63.74
82, 79.42
83, 57.86
84, 51.98
85, 75.5
86, 69.62
87, 65.7
88, 71.58
89, 50.02
90, 75.5
91, 75.5
92, 59.82
93, 73.54
94, 73.54
95, 59.82
96, 71.58
97, 71.58
98, 63.74
99, 73.54
100, 61.78
101, 67.66
102, 63.74
103, 75.5
104, 71.58
105, 81.38
106, 75.5
107, 67.66
108, 71.58
109, 71.58
110, 81.38
111, 65.7
112, 59.82
113, 73.54
114, 73.54
115, 73.54
116, 61.78
117, 79.42
118, 61.78
119, 67.66
120, 77.46
121, 65.7
122, 75.5
123, 55.9
124, 65.7
125, 61.78
126, 73.54
127, 71.58
128, 67.66
129, 51.98
130, 73.54
131, 81.38
132, 63.74
133, 69.62
134, 69.62
135, 81.38
136, 67.66
137, 79.42
138, 73.54
139, 67.66
140, 69.62
141, 67.66
142, 67.66
143, 79.42
144, 75.5
145, 79.42
146, 73.54
147, 63.74
148, 67.66
149, 67.66
150, 57.86
151, 59.82
152, 73.54
153, 63.74
154, 73.54
155, 71.58
156, 51.98
157, 77.46
158, 67.66
159, 65.7
160, 77.46
161, 55.9
162, 65.7
163, 71.58
164, 63.74
165, 71.58
166, 67.66
167, 71.58
168, 79.42
169, 73.54
170, 69.62
171, 81.38
172, 67.66
173, 69.62
174, 59.82
175, 79.42
176, 53.94
177, 75.5
178, 69.62
179, 61.78
180, 50.02
181, 67.66
182, 77.46
183, 69.62
184, 67.66
185, 67.66
186, 73.54
187, 67.66
188, 75.5
189, 73.54
190, 57.86
191, 69.62
192, 81.38
193, 67.66
194, 69.62
195, 73.54
196, 67.66
197, 73.54
198, 61.78
199, 69.62
200, 59.82
201, 73.54
202, 63.74
203, 65.7
204, 77.46
205, 73.54
206, 73.54
207, 71.58
208, 71.58
209, 71.58
210, 61.78
211, 75.5
212, 57.86
213, 75.5
214, 48.06
215, 71.58
216, 63.74
217, 73.54
218, 69.62
219, 51.98
220, 77.46
221, 63.74
222, 69.62
223, 61.78
224, 63.74
225, 71.58
226, 42.18
227, 75.5
228, 67.66
229, 77.46
230, 50.02
231, 73.54
232, 57.86
233, 59.82
234, 81.38
235, 55.9
236, 61.78
237, 69.62
238, 53.94
239, 73.54
240, 63.74
241, 67.66
242, 75.5
243, 75.5
244, 73.54
245, 57.86
246, 57.86
247, 79.42
248, 67.66
249, 69.62
250, 46.1
251, 81.38
252, 65.7
253, 71.58
254, 77.46
255, 75.5
256, 73.54
257, 67.66
258, 69.62
259, 79.42
260, 73.54
261, 81.38
262, 77.46
263, 65.7
264, 67.66
265, 50.02
266, 67.66
267, 75.5
268, 79.42
269, 67.66
270, 75.5
271, 75.5
272, 59.82
273, 81.38
274, 73.54
275, 75.5
276, 75.5
277, 67.66
278, 79.42
279, 77.46
280, 73.54
281, 69.62
282, 77.46
283, 77.46
284, 55.9
285, 75.5
286, 55.9
287, 44.14
288, 59.82
289, 67.66
290, 69.62
291, 75.5
292, 65.7
293, 63.74
294, 36.3
295, 77.46
296, 77.46
297, 71.58
298, 75.5
299, 75.5
300, 71.58
301, 77.46
302, 61.78
303, 73.54
304, 75.5
305, 77.46
306, 57.86
307, 44.14
308, 75.5
309, 61.78
310, 69.62
311, 57.86
312, 71.58
313, 69.62
314, 75.5
315, 77.46
316, 65.7
317, 71.58
318, 67.66
319, 38.26
320, 73.54
321, 73.54
322, 59.82
323, 57.86
324, 67.66
325, 57.86
326, 75.5
327, 71.58
328, 69.62
329, 61.78
330, 75.5
331, 71.58
332, 69.62
333, 63.74
334, 46.1
335, 73.54
336, 65.7
337, 48.06
338, 53.94
339, 73.54
340, 75.5
341, 67.66
342, 67.66
343, 63.74
344, 69.62
345, 81.38
346, 73.54
347, 67.66
348, 75.5
349, 51.98
350, 53.94
351, 71.58
352, 81.38
353, 63.74
354, 61.78
355, 65.7
356, 69.62
357, 61.78
358, 73.54
359, 65.7
360, 69.62
361, 67.66
362, 63.74
363, 44.14
364, 57.86
365, 71.58
366, 67.66
367, 69.62
368, 65.7
369, 71.58
370, 67.66
371, 75.5
372, 81.38
373, 46.1
374, 77.46
375, 79.42
376, 59.82
377, 71.58
378, 81.38
379, 75.5
380, 73.54
381, 71.58
382, 69.62
383, 71.58
384, 69.62
385, 65.7
386, 71.58
387, 71.58
388, 77.46
389, 57.86
390, 67.66
391, 71.58
392, 61.78
393, 69.62
394, 77.46
