episode, reward
0, -16395.4
1, -919.2
2, -4600.08
3, -1342.56
4, -1446.44
5, -342.96
6, -237.12
7, -1958
8, -1293.56
9, -301.8
10, -303.76
11, -90728.4
12, -36040.4
13, -2867.44
14, -9453.04
15, -2969.36
16, -5086.16
17, -11119
18, -1001.52
19, -482.12
20, -486.04
21, -10250.8
22, -4188.48
23, -10715.3
24, -1048.56
25, -109.72
26, -3.88
27, -393.92
28, -1728.68
29, -286.12
30, -3.88
31, -981.92
32, -370.4
33, -656.56
34, -117.56
35, -45.04
36, -3.88
37, -301.8
38, 41.2
39, -186.16
40, 19.64
41, -2069.72
42, 31.4
43, -31.32
44, 2
45, 39.24
46, 27.48
47, -1089.72
48, -148.92
49, -1468
50, -413.52
51, -52.88
52, -676.16
53, -3006.6
54, 2
55, -1560.12
56, -593.84
57, -4668.68
58, -2008.96
59, -489.96
60, -9.76
61, -3343.72
62, -5329.2
63, -748.68
64, -5725.12
65, -1650.28
66, -211.64
67, -2042.28
68, -184.2
69, -119.52
70, -194
71, -88.16
72, -21.52
73, -5295.88
74, -4182.6
75, -4958.76
76, -146.96
77, 49.04
78, -2424.48
79, -2738.08
80, -691.84
81, 23.56
82, 21.6
83, 62.76
84, -215.56
85, -1195.56
86, -460.56
87, -66.6
88, -5840.76
89, 64.72
90, 5.92
91, 2
92, -68.56
93, 25.52
94, 47.08
95, -3053.64
96, -1517
97, -803.56
98, -1328.84
99, 29.44
100, 27.48
101, -194
102, -103.84
103, -172.44
104, -864.32
105, -701.64
106, -60.72
107, -27.4
108, -1330.8
109, -29.36
110, -950.56
111, 62.76
112, -374.32
113, -1765.92
114, -48.96
115, -17.6
116, 68.64
117, -1093.64
118, -23.48
119, -474.28
120, -80.32
121, -290.04
122, -58.76
123, 7.88
124, 31.4
125, 9.84
126, 37.28
127, 3.96
128, -11.72
129, -5.84
130, 5.92
131, -23.48
132, 51
133, -250.84
134, -495.84
135, -5.84
136, -303.76
137, 33.36
138, 54.92
139, 70.6
140, -23.48
141, -2003.08
142, 39.24
143, 5.92
144, -13.68
145, -633.04
146, -66.6
147, -276.32
148, -223.4
149, 43.16
150, -7.8
151, 72.56
152, 47.08
153, 27.48
154, 64.72
155, 19.64
156, 47.08
157, -109.72
158, 41.2
159, -372.36
160, 51
161, 35.32
162, -5493.84
163, 51
164, 39.24
165, 60.8
166, -154.8
167, 27.48
168, 51
169, -205.76
170, 21.6
171, 23.56
172, 52.96
173, 66.68
174, 66.68
175, 29.44
176, 5.92
177, 47.08
178, 47.08
179, 47.08
180, 64.72
181, -2763.56
182, 60.8
183, 54.92
184, 9.84
185, 43.16
186, 56.88
187, 62.76
188, 54.92
189, 27.48
190, 52.96
191, 56.88
192, -80.32
193, 78.44
194, -460.56
195, 64.72
196, 56.88
197, 64.72
198, 56.88
199, 52.96
200, -519.36
201, 64.72
202, -290.04
203, -3402.52
204, -3923.88
205, -2124.6
206, -88.16
207, 47.08
208, 56.88
209, 64.72
210, 58.84
211, 56.88
212, 62.76
213, 72.56
214, 51
215, -388.04
216, 51
217, 43.16
218, -930.96
219, -233.2
220, 64.72
221, -272.4
222, -4898
223, 52.96
224, 47.08
225, -5039.12
226, 25.52
227, -1044.64
228, 49.04
229, 39.24
230, -2108.92
231, 33.36
232, 56.88
233, 45.12
234, 54.92
235, 35.32
236, 58.84
237, 49.04
238, 54.92
239, 56.88
240, 37.28
241, 64.72
242, 54.92
243, -2479.36
244, 43.16
245, 56.88
246, 37.28
247, 60.8
248, -2203
249, 43.16
250, -41.12
251, 52.96
252, -29.36
253, 64.72
254, 47.08
255, 41.2
256, 25.52
257, 37.28
258, 37.28
259, 54.92
260, 62.76
261, 43.16
262, 11.8
263, 66.68
264, 54.92
265, 51
266, 66.68
267, 13.76
268, 21.6
269, 54.92
270, 54.92
271, 58.84
272, 68.64
273, 58.84
274, 52.96
275, -125.4
276, 72.56
277, 43.16
278, 49.04
279, 51
280, 56.88
281, 51
282, 64.72
283, 41.2
284, 47.08
285, 56.88
286, 27.48
287, 62.76
288, 68.64
289, 62.76
290, 62.76
291, 62.76
292, 52.96
293, 62.76
294, 45.12
295, 64.72
296, -495.84
297, 45.12
298, 39.24
299, 43.16
300, 52.96
301, 51
302, 49.04
303, 43.16
304, 56.88
305, 74.52
306, 29.44
