episode, reward
0, -457.62
1, -28.38
2, -87.18
3, 50.02
4, 10.82
5, -194.98
6, 26.5
7, 55.9
8, 36.3
9, 36.3
10, 63.74
11, 4.94
12, 50.02
13, -46.02
14, 18.66
15, 59.82
16, 65.7
17, 32.38
18, 53.94
19, 44.14
20, 55.9
21, 48.06
22, 73.54
23, 50.02
24, 14.74
25, 73.54
26, 51.98
27, 51.98
28, -61.7
29, 34.34
30, 71.58
31, 77.46
32, 36.3
33, 63.74
34, 65.7
35, 30.42
36, 63.74
37, 53.94
38, 55.9
39, 75.5
40, 65.7
41, 75.5
42, 79.42
43, 63.74
44, 71.58
45, 71.58
46, 71.58
47, 53.94
48, 77.46
49, 69.62
50, -12.7
51, 61.78
52, 69.62
53, 30.42
54, 8.86
55, 57.86
56, 69.62
57, 42.18
58, 65.7
59, 61.78
60, 73.54
61, 75.5
62, 71.58
63, 71.58
64, 55.9
65, 77.46
66, 67.66
67, 77.46
68, 57.86
69, 50.02
70, 71.58
71, 63.74
72, 14.74
73, 75.5
74, 73.54
75, 77.46
76, 57.86
77, 69.62
78, 61.78
79, 59.82
80, 34.34
81, 55.9
82, 75.5
83, 69.62
84, 73.54
85, 77.46
86, 69.62
87, 67.66
88, 69.62
89, 77.46
90, 71.58
91, 53.94
92, 65.7
93, 63.74
94, 57.86
95, 69.62
96, 59.82
97, 71.58
98, 67.66
99, 65.7
100, 59.82
101, 75.5
102, 65.7
103, 65.7
104, 71.58
105, 67.66
106, 73.54
107, 77.46
108, 73.54
109, 53.94
110, 67.66
111, 75.5
112, 55.9
113, 63.74
114, 63.74
115, 61.78
116, 75.5
117, 69.62
118, 59.82
119, 77.46
120, 69.62
121, 63.74
122, 61.78
123, 61.78
124, 55.9
125, 73.54
126, 65.7
127, 73.54
128, 40.22
129, 73.54
130, 61.78
131, 73.54
132, 75.5
133, 65.7
134, 65.7
135, 61.78
136, 71.58
137, 65.7
138, 67.66
139, 73.54
140, 77.46
141, 55.9
142, 77.46
143, 57.86
144, 71.58
145, 73.54
146, 71.58
147, 75.5
148, 71.58
149, 69.62
150, 79.42
151, 71.58
152, 73.54
153, 73.54
154, 46.1
155, 71.58
156, 67.66
157, 69.62
158, 71.58
159, 73.54
160, 67.66
161, 55.9
162, 53.94
163, 67.66
164, 71.58
165, 77.46
166, 59.82
167, 69.62
168, 79.42
169, 59.82
170, 50.02
171, 53.94
172, 67.66
173, 65.7
174, 67.66
175, 71.58
176, 63.74
177, 44.14
178, 79.42
179, 63.74
180, 75.5
181, 73.54
182, 75.5
183, 65.7
184, 73.54
185, 48.06
186, 71.58
187, 71.58
188, 65.7
189, 69.62
190, 79.42
191, 75.5
192, 65.7
193, 65.7
194, 65.7
195, 71.58
196, 65.7
197, 65.7
198, 73.54
199, 77.46
200, 57.86
201, 69.62
202, 63.74
203, 65.7
204, 69.62
205, 65.7
206, 73.54
207, 46.1
208, 63.74
209, 71.58
210, 67.66
211, 55.9
212, 79.42
213, 71.58
214, 79.42
215, 67.66
216, 75.5
217, 75.5
218, 65.7
219, 73.54
220, 81.38
221, 69.62
222, 46.1
223, 28.46
224, 69.62
225, 77.46
226, 69.62
227, 77.46
228, 73.54
229, 77.46
230, 59.82
231, 67.66
232, 57.86
233, 73.54
234, 77.46
235, 53.94
236, 53.94
237, 69.62
238, 69.62
239, 77.46
240, 79.42
241, 69.62
242, 73.54
243, 65.7
244, 77.46
245, 65.7
246, 71.58
247, 59.82
248, 71.58
249, 55.9
250, 77.46
251, 59.82
252, 40.22
253, 75.5
254, 67.66
255, 65.7
256, 65.7
257, 67.66
258, 73.54
259, 71.58
260, 61.78
261, 77.46
262, 79.42
263, 71.58
264, 71.58
265, 55.9
266, 69.62
267, 75.5
268, 65.7
269, 63.74
270, 61.78
271, 81.38
272, 75.5
273, 75.5
274, 50.02
275, 67.66
276, 50.02
277, 65.7
278, 79.42
279, 57.86
280, 65.7
281, 63.74
282, 73.54
283, 65.7
284, 69.62
285, 73.54
286, 46.1
287, 77.46
288, 69.62
289, 71.58
290, 67.66
291, 77.46
292, 77.46
293, 59.82
294, 79.42
295, 73.54
296, 61.78
297, 79.42
298, 67.66
299, 75.5
300, 79.42
301, 73.54
302, 57.86
303, 81.38
304, 61.78
305, 57.86
306, 71.58
307, 77.46
308, 50.02
309, 71.58
310, 81.38
311, 63.74
312, 71.58
313, 65.7
314, 75.5
315, 71.58
316, 75.5
317, 57.86
318, 24.54
319, 73.54
320, 77.46
321, 79.42
322, 67.66
323, 77.46
324, 79.42
325, 69.62
326, 69.62
327, 67.66
328, 38.26
329, 73.54
330, 55.9
331, 75.5
332, 71.58
333, 75.5
334, 73.54
335, 55.9
336, 69.62
337, 69.62
338, 59.82
339, 67.66
340, 77.46
341, 77.46
342, 71.58
343, 71.58
344, 79.42
345, 55.9
346, 65.7
347, 61.78
348, 59.82
349, 59.82
350, 75.5
351, 61.78
352, 77.46
353, 65.7
354, 73.54
355, 77.46
356, 75.5
357, 73.54
358, 65.7
359, 55.9
360, 77.46
361, 63.74
362, 69.62
363, 77.46
364, 67.66
365, 63.74
366, 75.5
367, 63.74
368, 71.58
369, 79.42
370, 50.02
371, 61.78
372, 75.5
373, 59.82
374, 65.7
375, 71.58
376, 77.46
377, 65.7
378, 67.66
379, 67.66
380, 73.54
381, 73.54
382, 75.5
383, 67.66
384, 71.58
385, 73.54
386, 63.74
387, 69.62
388, 69.62
389, 65.7
390, 63.74
391, 77.46
392, 57.86
393, 75.5
394, 75.5
395, 59.82
396, 71.58
397, 73.54
398, 46.1
399, 73.54
400, 67.66
401, 79.42
402, 75.5
403, 69.62
404, 63.74
405, 59.82
406, 69.62
407, 53.94
408, 71.58
409, 63.74
410, 67.66
411, 73.54
412, 53.94
413, 65.7
414, 55.9
415, 77.46
416, 50.02
417, 73.54
418, 59.82
419, 51.98
420, 77.46
421, 55.9
422, 71.58
423, 75.5
424, 61.78
425, 65.7
426, 63.74
427, 73.54
428, 53.94
429, 67.66
430, 71.58
431, 67.66
432, 67.66
433, 59.82
434, 81.38
435, 63.74
436, 69.62
437, 81.38
438, 73.54
439, 71.58
440, 67.66
441, 75.5
442, 71.58
443, 69.62
444, 77.46
445, 61.78
446, 63.74
447, 57.86
448, 63.74
449, 61.78
450, 57.86
451, 77.46
452, 71.58
453, 69.62
454, 71.58
455, 69.62
456, 75.5
457, 55.9
458, 71.58
459, 65.7
460, 81.38
461, 59.82
462, 73.54
463, 63.74
464, 67.66
465, 67.66
466, 63.74
467, 75.5
468, 65.7
469, 79.42
470, 71.58
471, 59.82
472, 69.62
473, 57.86
474, 69.62
475, 63.74
476, 51.98
477, 65.7
478, 71.58
479, 63.74
480, 63.74
481, 67.66
482, 69.62
483, 63.74
484, 63.74
485, 75.5
486, 77.46
487, 75.5
488, 69.62
489, 67.66
490, 79.42
491, 75.5
492, 61.78
493, 73.54
494, 71.58
495, 81.38
496, 63.74
497, 77.46
498, 67.66
499, 77.46
500, 67.66
501, 63.74
502, 77.46
503, 48.06
504, 69.62
505, 79.42
506, 48.06
507, 63.74
508, 65.7
509, 71.58
510, 75.5
511, 48.06
512, 65.7
513, 65.7
514, 69.62
515, 69.62
516, 73.54
517, 77.46
518, 77.46
519, 71.58
520, 63.74
521, 77.46
522, 65.7
523, 73.54
524, 73.54
525, 77.46
526, 65.7
527, 75.5
528, 73.54
529, 75.5
530, 79.42
531, 77.46
532, 79.42
533, 67.66
534, 69.62
535, 75.5
536, 59.82
537, 61.78
538, 71.58
539, 73.54
540, 81.38
541, 77.46
542, 63.74
543, 75.5
544, 69.62
545, 75.5
546, 73.54
547, 65.7
548, 81.38
549, 63.74
550, 75.5
551, 67.66
552, 69.62
553, 77.46
554, 67.66
555, 75.5
556, 67.66
557, 79.42
558, 63.74
559, 73.54
560, 53.94
561, 69.62
562, 65.7
563, 81.38
564, 69.62
565, 67.66
566, 79.42
567, 77.46
568, 69.62
569, 75.5
570, 79.42
571, 69.62
572, 79.42
573, 73.54
574, 73.54
575, 77.46
576, 75.5
577, 61.78
578, 71.58
579, 71.58
580, 81.38
581, 77.46
582, 63.74
