episode, reward
0, -18057.4
1, -1030.92
2, -2959.56
3, -8008.52
4, -872.16
5, -1174
6, -88774.2
7, -16767.8
8, -1983.48
9, -3249.64
10, -68.56
11, -88.16
12, -693.8
13, -6168.08
14, -27349.8
15, -1630.68
16, -1281.8
17, -1503.28
18, -356.68
19, -2059.92
20, -4823.52
21, -985.84
22, -4337.44
23, -4723.56
24, -9960.68
25, -239.08
26, -5401.72
27, -7250
28, -3498.56
29, -1587.56
30, -376.28
31, -864.32
32, -97.96
33, -5921.12
34, -2598.92
35, -52.88
36, -2955.64
37, -566.4
38, -237.12
39, -1667.92
40, -270.44
41, -2175.56
42, -1595.4
43, -3202.6
44, -456.64
45, -2338.24
46, -6824.68
47, -14049.2
48, -1744.36
49, -1740.44
50, -107.76
51, -96
52, 37.28
53, -415.48
54, -764.36
55, -19.56
56, -5.84
57, -266.52
58, -329.24
59, -1542.48
60, -129.32
61, -2375.48
62, -1156.36
63, -891.76
64, -366.48
65, -64.64
66, -105.8
67, -235.16
68, -121.48
69, -176.36
70, -2022.68
71, -680.08
72, -160.68
73, -372.36
74, -2800.8
75, -33.28
76, -6397.4
77, -317.48
78, -917.24
79, 13.76
80, 27.48
81, -5160.64
82, -981.92
83, -5.84
84, -3992.48
85, -5.84
86, -352.76
87, 3.96
88, -13.68
89, -1105.4
90, -23.48
91, -778.08
92, -1268.08
93, -80.32
94, 35.32
95, -54.84
96, 17.68
97, -341
98, -45.04
99, -952.52
100, -299.84
101, -423.32
102, -52.88
103, -33.28
104, -356.68
105, -374.32
106, -2708.68
107, 47.08
108, -125.4
109, 7.88
110, -566.4
111, -119.52
112, -4449.16
113, -5362.52
114, -96
115, -146.96
116, -154.8
117, -19.56
118, -650.68
119, -97.96
120, 39.24
121, -35.24
122, -1334.72
123, -17.6
124, -2734.16
125, -94.04
126, -1566
127, -39.16
128, -2106.96
129, -4045.4
130, -297.88
131, -33.28
132, -1162.24
133, 33.36
134, -736.92
135, -4837.24
136, -1168.12
137, -3020.32
138, -1152.44
139, -94.04
140, -17.6
141, -113.64
142, -29.36
143, -1603.24
144, 25.52
145, 37.28
146, -205.76
147, -266.52
148, -1444.48
149, -1636.56
150, -5382.12
151, -533.08
152, -1760.04
153, -462.52
154, -31.32
155, -115.6
156, -979.96
157, -19.56
158, -211.64
159, -513.48
160, -9.76
161, -50.92
162, -211.64
163, -146.96
164, -1520.92
165, 17.68
166, -1025.04
167, -182.24
168, -1089.72
169, -493.88
170, -139.12
171, -719.28
172, -21.52
173, -103.84
174, -537
175, 47.08
176, -301.8
177, 33.36
178, -446.84
179, -337.08
180, -413.52
181, -1991.32
182, -268.48
183, -154.8
184, 9.84
185, 9.84
186, -1285.72
187, -2071.68
188, 33.36
189, -64.64
190, 49.04
191, 23.56
192, -92.08
193, -1714.96
194, -1593.44
195, -1487.6
196, -123.44
197, -656.56
198, -2342.16
199, -836.88
200, 29.44
201, -1515.04
202, -248.88
203, -1023.08
204, -533.08
205, 13.76
206, -156.76
207, -548.76
208, -47
209, -801.6
210, -7.8
211, -584.04
212, -2067.76
213, -303.76
214, 49.04
215, 11.8
216, -56.8
217, -35.24
218, 0.04
219, -7420.52
220, 27.48
221, -82.28
222, -125.4
223, -82.28
224, -29.36
225, -23.48
226, 5.92
227, 33.36
228, 0.04
229, -3688.68
230, -3404.48
231, -3547.56
232, -1854.12
233, -758.48
234, -107.76
235, -915.28
236, -82.28
237, -1728.68
238, 33.36
239, -697.72
240, 29.44
241, 41.2
242, -9.76
243, 60.8
244, 49.04
245, 68.64
246, -141.08
247, -86.2
248, 3.96
249, 43.16
250, -846.68
251, -125.4
252, 49.04
253, -105.8
254, -150.88
255, -135.2
256, 25.52
257, -70.52
258, 17.68
259, -460.56
260, 37.28
261, -1360.2
262, -552.68
263, -2275.52
264, -3.88
265, 21.6
266, -6299.4
267, -4257.08
268, 60.8
269, -19.56
270, -105.8
271, -766.32
272, -2414.68
273, -572.28
274, 25.52
275, 15.72
276, -4153.2
277, 64.72
278, -6320.96
279, -15.64
280, -27.4
281, 35.32
282, -956.44
283, 23.56
284, -2054.04
285, -970.16
286, -35.24
287, -354.72
288, 15.72
289, 49.04
290, 0.04
291, 47.08
292, 54.92
293, -1730.64
294, -854.52
295, 15.72
296, 56.88
297, -2377.44
298, -1305.32
299, -558.56
300, 0.04
301, 49.04
302, 49.04
303, 70.6
304, 33.36
305, -84.24
306, -168.52
307, -239.08
308, 62.76
309, 45.12
310, -70.52
311, -52.88
312, -80.32
313, -11.72
314, 3.96
315, -184.2
316, -172.44
317, -66.6
318, -601.68
319, -84.24
320, 35.32
321, -58.76
322, 60.8
323, 2
324, 0.04
325, -62.68
326, 58.84
327, -1052.48
328, 70.6
329, 37.28
330, 17.68
331, 37.28
332, 56.88
333, 52.96
334, -5.84
335, 15.72
336, 37.28
337, -39.16
338, -33.28
339, -111.68
340, -1352.36
341, -64.64
342, -303.76
343, 0.04
344, -662.44
345, -529.16
346, 49.04
