episode, reward
0, -1247.5
1, 8.86
2, 63.74
3, 69.62
4, 71.58
5, -93.06
6, 1.02
7, 4.94
8, 34.34
9, 44.14
10, 69.62
11, 63.74
12, 57.86
13, 63.74
14, -100.9
15, 46.1
16, -63.66
17, 67.66
18, 71.58
19, 40.22
20, 67.66
21, -202.82
22, 73.54
23, 55.9
24, 4.94
25, 44.14
26, 61.78
27, 57.86
28, 79.42
29, 53.94
30, 28.46
31, 59.82
32, 46.1
33, 75.5
34, 61.78
35, -240.06
36, 51.98
37, 73.54
38, 77.46
39, 77.46
40, 67.66
41, 73.54
42, 69.62
43, 48.06
44, 36.3
45, 63.74
46, 61.78
47, 40.22
48, 67.66
49, 65.7
50, 53.94
51, 55.9
52, 63.74
53, 65.7
54, 69.62
55, 73.54
56, 75.5
57, 63.74
58, 51.98
59, 42.18
60, 63.74
61, 71.58
62, 71.58
63, 63.74
64, 57.86
65, 61.78
66, 69.62
67, 65.7
68, 46.1
69, -249.86
70, 71.58
71, 71.58
72, 75.5
73, 12.78
74, 16.7
75, 75.5
76, 69.62
77, 67.66
78, 69.62
79, 71.58
80, 73.54
81, 63.74
82, 57.86
83, 77.46
84, 75.5
85, 51.98
86, 63.74
87, 71.58
88, 73.54
89, 61.78
90, 57.86
91, 59.82
92, 73.54
93, 63.74
94, 73.54
95, 63.74
96, 34.34
97, 79.42
98, 71.58
99, -20.54
100, 63.74
101, 75.5
102, 71.58
103, 59.82
104, 26.5
105, 46.1
106, 71.58
107, 48.06
108, 46.1
109, 79.42
110, 67.66
111, 51.98
112, 2.98
113, 57.86
114, 65.7
115, 53.94
116, 67.66
117, 77.46
118, 61.78
119, 63.74
120, 69.62
121, 67.66
122, 61.78
123, 79.42
124, 61.78
125, 38.26
126, 50.02
127, 77.46
128, 67.66
129, 75.5
130, 59.82
131, 67.66
132, 61.78
133, 42.18
134, 67.66
135, 69.62
136, 81.38
137, 77.46
138, 67.66
139, 69.62
140, 67.66
141, 71.58
142, 65.7
143, 79.42
144, 71.58
145, 67.66
146, 71.58
147, 59.82
148, 73.54
149, 79.42
150, 69.62
151, 61.78
152, 53.94
153, 55.9
154, 73.54
155, 61.78
156, 73.54
157, 67.66
158, 75.5
159, 61.78
160, 67.66
161, 73.54
162, 69.62
163, 75.5
164, 71.58
165, 63.74
166, 73.54
167, 71.58
168, 75.5
169, 61.78
170, 75.5
171, 55.9
172, 46.1
173, 69.62
174, 75.5
175, 81.38
176, 50.02
177, 67.66
178, 77.46
179, 55.9
180, 79.42
181, 61.78
182, 73.54
183, 75.5
184, 61.78
185, 71.58
186, 73.54
187, 71.58
188, 73.54
189, 65.7
190, 81.38
191, 71.58
192, 63.74
193, 53.94
194, 75.5
195, 65.7
196, 44.14
197, 79.42
198, 65.7
199, 79.42
200, 59.82
201, 69.62
202, 81.38
203, 61.78
204, 57.86
205, 59.82
