episode, reward
0, -19472.2
1, -2911.24
2, -3709.84
3, -4494.72
4, -4813.72
5, -1458.2
6, -92870
7, -13604.2
8, -4789.8
9, -13975
10, -4610.76
11, -7621.76
12, -1111.44
13, -578.16
14, -3.68
15, -89.52
16, -420.28
17, -4340.04
18, -127.16
19, -7246.08
20, -88.16
21, -2132.76
22, -560.6
23, -3730.48
24, -1227.04
25, -225.84
26, -11417
27, -3177.76
28, -97.96
29, -488.88
30, -2355.56
31, -4078.72
32, -4827.8
33, -6219.04
34, -1427.72
35, 10.44
36, -43.96
37, -449.68
38, -1372.44
39, -7177.92
40, -4386.88
41, -444.48
42, 9.84
43, 17.32
44, 49.44
45, -360.36
46, -211.24
47, -1863.32
48, -1910.04
49, -176.36
50, -104.8
51, -1493.48
52, -1901.16
53, -31.4
54, 16.72
55, -744.76
56, -4.84
57, 9.28
58, 17.68
59, -309.64
60, -880.36
61, -143.04
62, -2957.56
63, -214.28
64, -20.44
65, -6596.24
66, -1266.12
67, -1558.16
68, 20.72
69, -146.96
70, -6736.28
71, -487.8
72, -186.16
73, -511.32
74, -244.96
75, -2010.72
76, -127.64
77, -2743.96
78, -1370.88
79, -831
80, -239.08
81, -4151.24
82, -1050.52
83, -368.44
84, -7.48
85, -152.84
86, -317.48
87, -11.72
88, -351.76
89, 26.8
90, -323.04
91, -5762.36
92, 31.6
93, -26.68
94, -244.96
95, -46.6
96, 13
97, -566.4
98, 67.96
99, -12.28
100, 47.28
101, -132.64
102, -3375.48
103, -44.84
104, 29.64
105, -89.92
106, -42.68
107, -1205.36
108, -1973.68
109, 0.04
110, 54.92
111, -4239.44
112, -3390.16
113, -4106.16
114, -2299.72
115, -2236.32
116, -2289.92
117, -574.04
118, -16.52
119, -1199.28
120, -258.48
121, -165.28
122, -77.08
123, -10.24
124, 48.36
125, -253.48
126, -1142.64
127, 25.72
128, -22.2
129, -31.32
130, -13.56
131, -2430.52
132, 18.88
133, -64.64
134, -1556.2
135, -384.12
136, -1565.8
137, -164.6
138, -3176.32
139, -579.52
140, 37.28
141, -1306.2
142, -625.2
143, -250.84
144, 11.8
145, -63.56
146, -478.2
147, 58.84
148, -685.96
149, -310.6
150, -135.2
151, -1605
152, -183.8
153, -1281.6
154, -694.96
155, -37.68
156, -4351.16
157, -2996.8
158, 4.76
159, -1812.96
160, -272.4
161, 4.36
162, 4.36
163, 25.24
164, 2.32
165, 9.56
166, -14.64
167, 43.96
168, -287.28
169, -216.52
170, -1897.68
171, -321.56
172, 0.36
173, 32.4
174, -93.44
175, -200.36
176, -71.4
177, 60.12
178, -33.28
179, 3.96
180, -219.36
181, 18.96
182, -17.4
183, -998.48
184, -208.2
185, 3.96
186, -190.76
187, -1.72
188, -3.88
189, 25.52
190, 54.24
191, -16.32
192, -1076
193, 45.32
194, 19.64
195, -11785.4
196, -143.04
197, -105.8
198, -19.56
199, -531.12
200, -107.76
201, -121.48
202, -274.36
203, -1234.76
204, -71.4
205, -905.48
206, -707.52
207, 50.12
208, 56
209, -880
210, 44.24
211, -2924.28
212, -2294.04
213, -1564.04
214, 8.96
215, 51.2
216, -1740.44
217, 36.4
218, 61
219, -1085.8
220, -570.32
221, -21.32
222, -5.84
223, 12.88
224, -81.68
225, -860.4
226, -166.56
227, -393.92
228, -25.44
229, -1077.96
230, -370.4
231, -379.6
232, -486.04
233, -1752.2
234, -3720.04
235, -829.04
236, -1557.08
237, -372.36
238, 58.84
239, -1180.56
240, -128.24
241, 65.8
242, 25.92
